Discord Username,Won via,ETH Address,Amount
codename9988,Dirtiest Room II,0xa6D862BC7ce8023e04874957a9E26d1b0a9175a0,1
crab_battle,Dirtiest Room II,0x4feb7ecA0BaebCd607F0a9ddD841b29212D7C8Bd,1
taladegaknight,Dirtiest Room II,0xd2080978F8ad81741132c41be6820DbF0BFa29Ee,1
.gbiz,Pestering Influencers,0x44F15F72466C8403fc240aE43C8A3360EcdBfaE3,1
vhscrypto,Pestering Influencers,0xBCfeA7C894cBd0CF5fE654559268f2eB28c7c659,1
cyberagentz,Pestering Influencers,0x30Ad1af3ba6605BDbB75bE96C2C46773e1B4BbfB,1
cxon,Rare Logo Edit Contest,0x15d0e4EfB387d8b037b9F744C288bb846FA37eD9,1
steinful,Rare Logo Edit Contest,0x4645cf22a4c4B8EC757B82564a3Dfa7c826f9D37,1
wayfunnier,Rare Logo Edit Contest,0xB882D15668C160b2b98afa981Fa321Ee608C445a,1
ruttiger[icon],Contest Idea,0xd49e493Ff65aB6dbC30a875fb6071DA59Aff8447,1
tokatta,Contest Idea,0x6f5f4F25e20ebcF11eB984ea90bC789D8295b7cc,1
Codename,Graffiti,0xa6D862BC7ce8023e04874957a9E26d1b0a9175a0,1
Jet, jetneptune.eth, 0x2261706Ae82bAbE6C84E4BC83AB523875726433b, 10